Building_Name,Street_Address1,Street_Address2,City,County,Postcode
Anglesea,Anglesea Road,,Portsmouth,Hampshire,PO13DJ
Buckingham,Lion Terrace,,Portsmouth,Hampshire,PO13HE
Burnaby,University of Portsmouth,Burnaby Road,Portsmouth,Hampshire,PO13QL
Dennis Sciama,,,Portsmouth,Hampshire,PO13FX
Dental Academy,William Beatty Building,Hampshire Terrace,Portsmouth,Hampshire,PO12QG
Eldon,,,Portsmouth,Hampshire,PO12DJ
Future Technology Center,,,Portsmouth,Hampshire,PO13HE
King Henry,,,Portsmouth,Hampshire,PO12DY
Langstone Campus,Furze Lane,,Portsmouth,Hampshire,PO48LW
Library,Cambridge Road,,Portsmouth,Hampshire,PO12ST
Lion Gate,Lion Terrace,,Portsmouth,Hampshire,PO13HF
Milldam,Burnaby Road,,Portsmouth,Hampshire,PO13AF
Park,King Henry I Street,,Portsmouth,Hampshire,PO12BZ
Portland,,,Portsmouth,Hampshire,PO13AH
Richmond,,,Portsmouth,Hampshire,PO13DE
St Andrews Court,St Michael's Road,,Portsmouth,Hampshire,PO12PR
St Georges,141 High Street,,Portsmouth,Hampshire,PO12HY
St Michaels,,,Portsmouth,Hampshire,PO12DT
